
="",="(1)",="(2)",="(3)",="(4)"
="",="(5.79)",="(6.40)",="(1.90)",="(4.75)"

="Seperated / Widowed",="",="",="",=""
="",="(0.89)",="(-0.24)",="(0.19)",="(0.94)"

="Rural",="***",="***",="",="**"
="",="(-5.54)",="(-7.46)",="(-1.90)",="(-2.64)"

="VIC",="*",="",="***",=""
="",="(-2.50)",="",="(-4.23)",=""

="WA",="*",="",="",=""
="",="(2.26)",="",="(0.20)",=""

="QLD",="",="",="*",=""
="",="(-1.83)",="",="(-2.44)",=""

="SA",="*",="",="",=""
="",="(-2.46)",="",="(-0.15)",=""

="NT",="",="",="",=""
="",="(0.78)",="",="(-0.96)",=""

="TAS",="**",="",="",=""
="",="(-3.28)",="",="(-1.68)",=""

="ACT",="***",="",="*",=""
="",="(5.87)",="",="(2.31)",=""

="Shiftwork",="***",="",="***",=""
="",="(8.16)",="",="(3.44)",=""

="Part Time",="***",="***",="***",="**"
="",="(-5.94)",="(-5.53)",="(-3.36)",="(-2.98)"

="41+ hours",="***",="",="***",=""
="",="(-3.60)",="",="(-10.96)",=""

="Casual",="***",="***",="***",="***"
="",="(-3.88)",="(-3.55)",="(-5.36)",="(-6.21)"

="Tenure",="***",="***",="***",="***"
="",="(4.60)",="(8.24)",="(5.95)",="(4.11)"

="Wave=2",="",="",="",="***"
="",="(0.88)",="(0.83)",="(0.82)",="(4.73)"

="Wave=3",="",="",="",=""
="",="(1.79)",="(0.25)",="(1.68)",="(1.89)"

="Wave=4",="**",="",="**",="***"
="",="(2.71)",="(1.96)",="(2.94)",="(3.76)"

="Wave=5",="*",="***",="***",="***"
="",="(2.33)",="(5.11)",="(3.66)",="(4.78)"

="Wave=6",="***",="***",="***",="***"
="",="(6.39)",="(4.56)",="(3.45)",="(7.76)"

="Wave=7",="***",="***",="***",="***"
="",="(4.18)",="(5.64)",="(4.61)",="(6.64)"

="Wave=8",="***",="***",="***",="***"
="",="(5.67)",="(5.23)",="(10.76)",="(7.75)"

="Wave=9",="***",="***",="***",="***"
="",="(7.41)",="(10.02)",="(10.04)",="(8.45)"

="Wave=10",="***",="***",="***",="***"
="",="(7.51)",="(14.81)",="(11.86)",="(9.57)"

="Wave=11",="***",="***",="***",="***"
="",="(7.47)",="(11.11)",="(9.19)",="(8.84)"

="Wave=12",="***",="***",="***",="***"
="",="(7.48)",="(10.50)",="(8.27)",="(10.37)"

="Wave=13",="***",="***",="***",="***"
="",="(8.03)",="(12.01)",="(7.01)",="(10.68)"

="Wave=14",="***",="***",="***",="***"
="",="(8.90)",="(10.53)",="(8.22)",="(10.51)"

="Wave=15",="***",="***",="***",="***"
="",="(8.30)",="(7.60)",="(10.80)",="(13.45)"

="Wave=16",="***",="***",="***",="***"
="",="(10.21)",="(9.03)",="(9.42)",="(19.53)"

="Wave=17",="***",="***",="***",="***"
="",="(12.96)",="(9.67)",="(9.17)",="(9.16)"

="Wave=18",="***",="***",="***",="***"
="",="(24.84)",="(8.46)",="(9.92)",="(28.22)"

="Wave=19",="***",="***",="***",="***"
="",="(33.49)",="(9.20)",="(13.38)",="(33.12)"

="Technician / Trades",="***",="",="***",=""
="",="(-5.29)",="",="(-11.17)",=""

="Administration",="***",="",="***",=""
="",="(-7.62)",="",="(-9.87)",=""

="Machinery",="***",="",="***",=""
="",="(-12.28)",="",="(-8.50)",=""

="Professional",="",="",="",=""
="",="(0.53)",="",="(1.84)",=""

="Community / Service",="***",="",="***",=""
="",="(-6.04)",="",="(-14.53)",=""

="Sales",="***",="",="***",=""
="",="(-13.20)",="",="(-12.22)",=""

="Labourer",="***",="",="***",=""
="",="(-13.24)",="",="(-21.75)",=""

="Children",="",="**",="",=""
="",="",="(3.12)",="",="(-0.13)"

="q3",="",="",="",=""
="Public Sector",="***",="***",="***",="***"
="",="(4.50)",="(7.15)",="(21.65)",="(15.73)"

="Experience",="***",="***",="***",="***"
="",="(13.79)",="(10.23)",="(15.09)",="(7.91)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-10.40)",="(-7.48)",="(-12.58)",="(-6.85)"

="University",="***",="***",="***",="***"
="",="(9.91)",="(18.62)",="(18.54)",="(37.02)"

="Diploma / Cert",="***",="***",="***",="***"
="",="(5.03)",="(7.27)",="(5.17)",="(5.81)"

="1 child",="",="",="**",=""
="",="(1.43)",="",="(-2.87)",=""

="2 children",="**",="",="",=""
="",="(2.95)",="",="(1.25)",=""

="3 children",="***",="",="",=""
="",="(3.53)",="",="(0.95)",=""

="4+ children",="",="",="",=""
="",="(0.52)",="",="(0.97)",=""

="Poor health",="***",="***",="***",="***"
="",="(-4.69)",="(-5.88)",="(-3.88)",="(-6.43)"

="Born - Eng speaking",="*",="***",="***",="***"
="",="(2.37)",="(4.01)",="(6.90)",="(5.19)"

="Born - Non-Eng speaking",="***",="***",="",=""
="",="(-5.31)",="(-8.92)",="(0.39)",="(-1.68)"

="Married / De Facto",="***",="***",="**",="*"
="",="(4.65)",="(10.95)",="(3.18)",="(2.25)"

="Seperated / Widowed",="",="",="",="*"
="",="(0.26)",="(-0.41)",="(-0.11)",="(-2.37)"

="Rural",="***",="***",="",="**"
="",="(-4.43)",="(-7.69)",="(-0.97)",="(-2.73)"

="VIC",="",="",="***",=""
="",="(-1.51)",="",="(-4.01)",=""

="WA",="*",="",="",=""
="",="(2.51)",="",="(-0.66)",=""

="QLD",="***",="",="***",=""
="",="(-3.57)",="",="(-4.44)",=""

="SA",="***",="",="",=""
="",="(-6.16)",="",="(-1.28)",=""

="NT",="",="",="",=""
="",="(-0.10)",="",="(-0.06)",=""

="TAS",="***",="",="*",=""
="",="(-6.54)",="",="(-2.29)",=""

="ACT",="***",="",="*",=""
="",="(4.15)",="",="(1.97)",=""

="Shiftwork",="***",="",="***",=""
="",="(12.83)",="",="(6.74)",=""

="Part Time",="***",="***",="",=""
="",="(-3.56)",="(-5.03)",="(-0.46)",="(-1.65)"

="41+ hours",="",="",="***",=""
="",="(0.34)",="",="(-9.24)",=""

="Casual",="",="*",="",="**"
="",="(0.06)",="(-2.29)",="(1.16)",="(-2.88)"

="Tenure",="***",="***",="***",="***"
="",="(9.73)",="(11.01)",="(6.52)",="(5.68)"

="Wave=2",="",="",="",=""
="",="(-0.27)",="(0.28)",="(-0.46)",="(0.58)"

="Wave=3",="",="",="*",=""
="",="(0.74)",="(0.80)",="(2.20)",="(1.84)"

="Wave=4",="*",="",="**",="***"
="",="(2.23)",="(1.60)",="(2.61)",="(3.69)"

="Wave=5",="***",="***",="**",="***"
="",="(3.80)",="(3.49)",="(3.09)",="(3.55)"

="Wave=6",="***",="***",="***",="***"
="",="(7.39)",="(5.78)",="(9.16)",="(5.77)"

="Wave=7",="***",="***",="***",="***"
="",="(5.43)",="(4.98)",="(6.18)",="(5.43)"

="Wave=8",="***",="***",="***",="***"
="",="(5.10)",="(4.75)",="(7.42)",="(6.03)"

="Wave=9",="***",="***",="***",="***"
="",="(5.91)",="(7.27)",="(13.32)",="(7.37)"

="Wave=10",="***",="***",="***",="***"
="",="(8.66)",="(6.69)",="(12.28)",="(8.14)"

="Wave=11",="***",="***",="***",="***"
="",="(6.95)",="(9.87)",="(10.87)",="(7.19)"

="Wave=12",="***",="***",="***",="***"
="",="(7.89)",="(9.29)",="(9.90)",="(12.45)"

="Wave=13",="***",="***",="***",="***"
="",="(9.05)",="(7.20)",="(11.55)",="(10.03)"

="Wave=14",="***",="***",="***",="***"
="",="(7.04)",="(11.03)",="(9.69)",="(9.76)"

="Wave=15",="***",="***",="***",="***"
="",="(12.37)",="(7.52)",="(12.37)",="(8.90)"

="Wave=16",="***",="***",="***",="***"
="",="(11.27)",="(9.80)",="(7.67)",="(8.82)"

="Wave=17",="***",="***",="***",="***"
="",="(10.32)",="(8.21)",="(10.52)",="(7.50)"

="Wave=18",="***",="***",="***",="***"
="",="(10.01)",="(11.49)",="(13.96)",="(13.38)"

="Wave=19",="***",="***",="***",="***"
="",="(10.71)",="(8.72)",="(18.68)",="(13.42)"

="Technician / Trades",="***",="",="***",=""
="",="(-12.18)",="",="(-9.56)",=""

="Administration",="***",="",="***",=""
="",="(-14.76)",="",="(-11.69)",=""

="Machinery",="***",="",="***",=""
="",="(-18.15)",="",="(-9.30)",=""

="Professional",="",="",="",=""
="",="(-1.26)",="",="(-0.74)",=""

="Community / Service",="***",="",="***",=""
="",="(-14.40)",="",="(-13.56)",=""

="Sales",="***",="",="***",=""
="",="(-23.02)",="",="(-11.91)",=""

="Labourer",="***",="",="***",=""
="",="(-25.28)",="",="(-14.41)",=""

="Children",="",="***",="",=""
="",="",="(5.01)",="",="(-0.45)"

="q4",="",="",="",=""
="Public Sector",="",="",="***",="***"
="",="(-1.51)",="(-0.37)",="(9.82)",="(8.48)"

="Experience",="***",="***",="***",="***"
="",="(9.15)",="(9.12)",="(12.17)",="(9.57)"

="Experience^{2}",="***",="***",="***",="***"
="",="(-7.11)",="(-6.42)",="(-9.28)",="(-8.42)"

="University",="***",="***",="***",="***"
="",="(11.00)",="(15.18)",="(15.12)",="(40.30)"

="Diploma / Cert",="***",="***",="**",="***"
="",="(4.99)",="(4.52)",="(3.22)",="(5.15)"

="1 child",="",="",="*",=""
="",="(0.90)",="",="(-2.05)",=""

="2 children",="**",="",="",=""
="",="(2.76)",="",="(0.61)",=""

="3 children",="*",="",="",=""
="",="(2.01)",="",="(0.88)",=""

="4+ children",="",="",="",=""
="",="(0.14)",="",="(1.20)",=""

="Poor health",="***",="***",="***",="***"
="",="(-3.90)",="(-5.36)",="(-4.09)",="(-5.97)"

="Born - Eng speaking",="*",="***",="",="*"
="",="(2.22)",="(4.78)",="(1.72)",="(2.00)"

="Born - Non-Eng speaking",="**",="***",="*",=""
="",="(-2.73)",="(-5.87)",="(1.99)",="(0.11)"

="Married / De Facto",="***",="***",="**",="***"
="",="(5.44)",="(5.73)",="(3.03)",="(4.86)"

="Seperated / Widowed",="",="",="",="*"
="",="(0.55)",="(0.19)",="(-0.13)",="(-2.38)"

="Rural",="***",="***",="",="*"
="",="(-3.66)",="(-4.06)",="(-1.16)",="(-2.04)"

="VIC",="",="",="**",=""
="",="(-1.42)",="",="(-2.87)",=""

="WA",="***",="",="",=""
="",="(5.51)",="",="(-0.36)",=""

="QLD",="",="",="***",=""
="",="(-1.51)",="",="(-8.01)",=""

="SA",="***",="",="**",=""
="",="(-5.99)",="",="(-2.94)",=""

="NT",="",="",="",=""
="",="(0.94)",="",="(-0.11)",=""

="TAS",="***",="",="***",=""
="",="(-6.51)",="",="(-3.33)",=""

="ACT",="",="",="**",=""
="",="(1.94)",="",="(3.01)",=""

="Shiftwork",="***",="",="***",=""
="",="(13.53)",="",="(8.65)",=""

="Part Time",="*",="***",="",=""
="",="(-2.01)",="(-3.30)",="(1.21)",="(-0.67)"

="41+ hours",="",="",="***",=""
="",="(1.57)",="",="(-4.37)",=""

="Casual",="",="",="*",=""
="",="(1.56)",="(-0.37)",="(2.53)",="(-0.35)"

="Tenure",="***",="***",="**",="***"
="",="(14.98)",="(6.46)",="(2.96)",="(4.04)"

="Wave=2",="",="",="",=""
="",="(-1.46)",="(-1.39)",="(-0.32)",="(-0.75)"

="Wave=3",="",="",="",=""
="",="(0.38)",="(0.26)",="(1.33)",="(0.98)"

="Wave=4",="",="**",="",=""
