
="Technician / Trades",="-0.146***",="",="-0.143***",=""
="",="(-11.12)",="",="(-16.37)",=""

="Administration",="-0.130***",="",="-0.203***",=""
="",="(-14.13)",="",="(-12.71)",=""

="Machinery",="-0.190***",="",="-0.095***",=""
="",="(-13.17)",="",="(-10.12)",=""

="Professional",="-0.008",="",="-0.013",=""
="",="(-0.60)",="",="(-0.77)",=""

="Community / Service",="-0.127***",="",="-0.254***",=""
="",="(-12.90)",="",="(-19.14)",=""

="Sales",="-0.162***",="",="-0.226***",=""
="",="(-16.82)",="",="(-18.42)",=""

="Labourer",="-0.225***",="",="-0.240***",=""
="",="(-18.97)",="",="(-16.74)",=""

="Children",="",="0.045***",="",="0.045***"
="",="",="(3.94)",="",="(3.94)"

="Observations",="49598",="49598",="46893",="49598"

="Standardized beta coefficients; t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
