="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="children_3",=".0328522",=".0366124",="",=".011318",=".018746",=""
="",=".0183525",=".0164384",="",=".0142843",=".0130054",=""
="children_4_plus",=".0128313",="-.0089003",="",="-.0026699",="-.0048239",=""
="",=".0354177",=".0304079",="",=".0329122",=".0304166",=""
="health_poor",="-.0579773",="-.0590555",="-.0594997",="-.0370698",="-.025354",="-.0391608"
="",=".0103481",=".0104627",=".0098822",=".0084715",=".007517",=".0096357"
="birth_eng",=".0424986",=".0325653",=".0491504",=".0462769",=".0422714",=".0435011"
="",=".0161203",=".0149954",=".0180633",=".0123015",=".0105946",=".0150108"
="birth_neng",="-.0980381",="-.0599748",="-.0986232",="-.057554",="-.0144693",="-.0771088"
="",=".0133085",=".015352",=".0160936",=".014528",=".0120591",=".0170919"
="married_yes",=".0674694",=".0678651",=".0735515",=".0244305",=".0179902",=".0292421"
="",=".0112717",=".0115933",=".0127139",=".0091851",=".0106309",=".010761"
="married_sep",="-.0016199",=".0231304",=".0008036",=".0024825",=".002879",="-.007446"
="",=".0205227",=".0197863",=".0215859",=".01269",=".0140775",=".0159563"
="urban_no",="-.0918195",="-.0809973",="-.0914346",="-.0236606",="-.0200557",="-.0263472"
="",=".0144787",=".0143484",=".0165836",=".0112521",=".0106803",=".0114823"
="state_VIC",="-.0226653",="-.0292082",="",="-.0406772",="-.04001",=""
="",=".0145318",=".0135378",="",=".0111129",=".0107475",=""
="state_WA",=".0379757",=".0377521",="",=".0133055",=".0032507",=""
="",=".0204915",=".0186572",="",=".0139433",=".0123498",=""
="state_QLD",="-.029243",="-.0203232",="",="-.028036",="-.0205882",=""
="",=".0142175",=".0137519",="",=".0114117",=".009438",=""
="state_SA",="-.0365313",="-.0242412",="",=".0105994",="-.0019524",=""
="",=".0150649",=".0157727",="",=".0130872",=".0119085",=""
="state_NT",="-.0143905",=".0306476",="",="-.0916246",="-.0420806",=""
="",=".0486222",=".0361191",="",=".0713589",=".0477052",=""
="state_TAS",="-.0844089",="-.0807282",="",="-.0300019",="-.0343706",=""
="",=".021362",=".0220323",="",=".0213531",=".0169715",=""
="state_ACT",=".1468852",=".1224426",="",=".1042938",=".0666917",=""
="",=".037204",=".0321639",="",=".0251904",=".0257862",=""
="shiftwork_yes",=".0403872",=".0672128",="",=".0103672",=".038913",=""
="",=".0094524",=".0116255",="",=".0095837",=".0093997",=""
="parttime",="-.1284668",="-.0933063",="-.1357788",="-.0391336",="-.018724",="-.0164212"
="",=".0174263",=".0168746",=".0209547",=".0089516",=".0081883",=".0089179"
="long_hours",="-.0020394",="-.0347704",="",="-.0490843",="-.0962167",=""
="",=".0090554",=".0078744",="",=".0102803",=".0092224",=""
="casual",="-.0624155",="-.0407868",="-.05819",="-.0752366",="-.0475415",="-.0930071"
="",=".0132477",=".0139951",=".0150875",=".0104147",=".0106832",=".010968"
="tenure",=".004137",=".0034299",=".0057056",=".0035263",=".0036582",=".0057704"
="",=".0008661",=".0006065",=".0008355",=".0006417",=".0005301",=".0007496"
="2.wave",=".0081677",=".0137411",="",=".0256867",=".0176087",=""
="",=".0129958",=".0139945",="",=".0110715",=".0108771",=""
="3.wave",=".0077058",=".0226019",="",=".0216996",=".0249051",=""
="",=".0138189",=".0143002",="",=".0146889",=".0113428",=""
="4.wave",=".0401354",=".0375639",="",=".0383196",=".050695",=""
="",=".0152764",=".0176682",="",=".015283",=".0128926",=""
="5.wave",=".0600834",=".0541277",="",=".0462238",=".0530158",=""
="",=".0156778",=".0172962",="",=".0123799",=".0128956",=""
="6.wave",=".0916925",=".0720399",="",=".0569439",=".0631188",=""
="",=".015199",=".0151027",="",=".0166855",=".0122568",=""
="7.wave",=".0988946",=".0939504",="",=".0914373",=".0895922",=""
="",=".0156974",=".0227373",="",=".0140939",=".0124804",=""
="8.wave",=".0858641",=".0855052",="",=".1068208",=".0977624",=""
="",=".0149222",=".0153908",="",=".0150133",=".0111797",=""
="9.wave",=".1229782",=".1184511",="",=".1123255",=".1122472",=""
="",=".0150727",=".0156123",="",=".016631",=".0134684",=""
