"v.n_t","v.results","t","t_inv","s_group"
2548.375,0.0589618385214748,8,0.125,"1"
2539,0.0552300248837331,9,0.111111111111111,"1"
2533.8,0.0555164199506258,10,0.1,"1"
2544.18181818182,0.0612413675196157,11,0.0909090909090909,"1"
2529.83333333333,0.0605286629231755,12,0.0833333333333333,"1"
2532.84615384615,0.0649566014864006,13,0.0769230769230769,"1"
2532.78571428571,0.0631729397289868,14,0.0714285714285714,"1"
2528.6,0.0678454642176546,15,0.0666666666666667,"1"
2532.875,0.0658571004265205,16,0.0625,"1"
2533.23529411765,0.0596762428518839,17,0.0588235294117647,"1"
2535,0.065952937941571,18,0.0555555555555556,"1"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"1"
2539.375,0.0714928415084562,8,0.125,"1"
2533.22222222222,0.0467959533912603,9,0.111111111111111,"1"
2531.6,0.066390249755719,10,0.1,"1"
2535.72727272727,0.038090210946154,11,0.0909090909090909,"1"
2532.08333333333,0.0593971162689321,12,0.0833333333333333,"1"
2542.53846153846,0.0377615599536887,13,0.0769230769230769,"1"
2536.07142857143,0.0590868728970284,14,0.0714285714285714,"1"
2536,0.05813397477694,15,0.0666666666666667,"1"
2537.4375,0.0631581442299932,16,0.0625,"1"
2532.82352941176,0.0609477298682035,17,0.0588235294117647,"1"
2533.72222222222,0.0580829283297685,18,0.0555555555555556,"1"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"1"
2537.5,0.0420956920555687,8,0.125,"2"
2525.77777777778,0.0418559432301954,9,0.111111111111111,"2"
2540.9,0.0522944653407531,10,0.1,"2"
2536.72727272727,0.0609044267992041,11,0.0909090909090909,"2"
2538.66666666667,0.0686948696678142,12,0.0833333333333333,"2"
2528.15384615385,0.059025107346624,13,0.0769230769230769,"2"
2526.85714285714,0.0638536961378808,14,0.0714285714285714,"2"
2534.93333333333,0.0641458983337797,15,0.0666666666666667,"2"
2538.4375,0.0641061842682852,16,0.0625,"2"
2534.41176470588,0.0649840444561691,17,0.0588235294117647,"2"
2534.16666666667,0.063681348035229,18,0.0555555555555556,"2"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"2"
2540.625,0.0558326807696201,8,0.125,"2"
2527.88888888889,0.0579146923325551,9,0.111111111111111,"2"
2533.2,0.050022224496941,10,0.1,"2"
2529.72727272727,0.0607212539698805,11,0.0909090909090909,"2"
2534.25,0.0559889048881462,12,0.0833333333333333,"2"
2532.23076923077,0.0586894868764346,13,0.0769230769230769,"2"
2529.85714285714,0.0499882715931723,14,0.0714285714285714,"2"
2539.26666666667,0.0634112482427314,15,0.0666666666666667,"2"
2532.3125,0.0655346504266303,16,0.0625,"2"
2533.47058823529,0.0656482463898283,17,0.0588235294117647,"2"
2534.05555555556,0.0636791367854314,18,0.0555555555555556,"2"
2534.31578947368,0.0638675269436115,19,0.0526315789473684,"2"
2529.75,0.0502516767607827,8,0.125,"3"
2523.22222222222,0.0571459455729447,9,0.111111111111111,"3"
