"v.n_t","v.results","t","t_inv","s_group"
2388.875,0.0621025278219789,8,0.125,"1"
2382.77777777778,0.0817528165629977,9,0.111111111111111,"1"
2397.7,0.0699418204655271,10,0.1,"1"
2396.72727272727,0.0734766518940279,11,0.0909090909090909,"1"
2390.66666666667,0.0896284989184659,12,0.0833333333333333,"1"
2389.76923076923,0.0783019611798706,13,0.0769230769230769,"1"
2382.07142857143,0.0816694162393493,14,0.0714285714285714,"1"
2390.06666666667,0.0778430577184172,15,0.0666666666666667,"1"
2392.3125,0.0766240517332692,16,0.0625,"1"
2390.52941176471,0.0809601251214861,17,0.0588235294117647,"1"
2385.94444444444,0.0792386530652936,18,0.0555555555555556,"1"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"1"
2386.5,0.0609197387378884,8,0.125,"1"
2393.11111111111,0.0871319744199567,9,0.111111111111111,"1"
2382.5,0.0781370640059394,10,0.1,"1"
2388.45454545455,0.0851956770079871,11,0.0909090909090909,"1"
2382.58333333333,0.0780785944429339,12,0.0833333333333333,"1"
2388.76923076923,0.0770029839933547,13,0.0769230769230769,"1"
2393,0.0715583468316532,14,0.0714285714285714,"1"
2383.73333333333,0.0826400647937268,15,0.0666666666666667,"1"
2385.3125,0.0768811133478662,16,0.0625,"1"
2387.88235294118,0.0805877569381437,17,0.0588235294117647,"1"
2386.33333333333,0.0823955579478512,18,0.0555555555555556,"1"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"1"
2382.25,0.0980381906832548,8,0.125,"2"
2385.22222222222,0.0897723832832293,9,0.111111111111111,"2"
2395.4,0.0916051482719786,10,0.1,"2"
2388.09090909091,0.0740446561333649,11,0.0909090909090909,"2"
2386.91666666667,0.0880742673508069,12,0.0833333333333333,"2"
2383.46153846154,0.065841543410902,13,0.0769230769230769,"2"
2383.78571428571,0.0861878588037428,14,0.0714285714285714,"2"
2388.33333333333,0.0773017283306668,15,0.0666666666666667,"2"
2391.875,0.0800204196793704,16,0.0625,"2"
2384.70588235294,0.0763329137646079,17,0.0588235294117647,"2"
2388.72222222222,0.0770428538423425,18,0.0555555555555556,"2"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"2"
2389,0.0843989554508332,8,0.125,"2"
2381.66666666667,0.0859310731782434,9,0.111111111111111,"2"
2392.8,0.0787769843582243,10,0.1,"2"
2394.72727272727,0.083677379001438,11,0.0909090909090909,"2"
2393.16666666667,0.0863538995896947,12,0.0833333333333333,"2"
2393.61538461538,0.0838400581495005,13,0.0769230769230769,"2"
2384.35714285714,0.0701038528622887,14,0.0714285714285714,"2"
2382.86666666667,0.0728922767527536,15,0.0666666666666667,"2"
2387.125,0.0804015175559816,16,0.0625,"2"
2387.11764705882,0.0770844808562786,17,0.0588235294117647,"2"
2386.55555555556,0.0795924015294004,18,0.0555555555555556,"2"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"2"
2389.625,0.0917648346841902,8,0.125,"3"
2393.22222222222,0.0916259419301856,9,0.111111111111111,"3"
2384.5,0.0824112661398851,10,0.1,"3"
2389.27272727273,0.0667705591805188,11,0.0909090909090909,"3"
2379.25,0.0745860207526196,12,0.0833333333333333,"3"
2389.30769230769,0.0841258857693396,13,0.0769230769230769,"3"
2391.21428571429,0.070431824199964,14,0.0714285714285714,"3"
2383.8,0.0652492195718306,15,0.0666666666666667,"3"
2390.4375,0.0855187164151785,16,0.0625,"3"
2391.41176470588,0.0764230235881171,17,0.0588235294117647,"3"
2386.11111111111,0.0821850643893021,18,0.0555555555555556,"3"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"3"
2378.75,0.100509110590651,8,0.125,"3"
2383.77777777778,0.0783442304989272,9,0.111111111111111,"3"
2391.6,0.0849346321299866,10,0.1,"3"
2398.36363636364,0.0820074450026423,11,0.0909090909090909,"3"
2381.16666666667,0.0919125515349354,12,0.0833333333333333,"3"
2390.84615384615,0.0749437409484371,13,0.0769230769230769,"3"
2399.14285714286,0.0751118548062402,14,0.0714285714285714,"3"
2387.33333333333,0.0743030726331315,15,0.0666666666666667,"3"
2382.5,0.0763911838522526,16,0.0625,"3"
2385.76470588235,0.0834224023722489,17,0.0588235294117647,"3"
2388.94444444444,0.0743020024999601,18,0.0555555555555556,"3"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"3"
2378.75,0.0926340387349717,8,0.125,"4"
2395.66666666667,0.0864176791633447,9,0.111111111111111,"4"
2381.2,0.0858329569528726,10,0.1,"4"
2396.63636363636,0.0687205078734674,11,0.0909090909090909,"4"
2401.25,0.0908811778770789,12,0.0833333333333333,"4"
2385.61538461538,0.0715485434919629,13,0.0769230769230769,"4"
2395.78571428571,0.0810031725438866,14,0.0714285714285714,"4"
2391.06666666667,0.0773705486499814,15,0.0666666666666667,"4"
2386,0.0815443799552837,16,0.0625,"4"
2396,0.0799865621543448,17,0.0588235294117647,"4"
2389.88888888889,0.078498217337398,18,0.0555555555555556,"4"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"4"
2395.875,0.0945725446049018,8,0.125,"4"
2382.77777777778,0.102048888554095,9,0.111111111111111,"4"
2379.9,0.0949694320457295,10,0.1,"4"
2378.54545454545,0.0770879476954287,11,0.0909090909090909,"4"
2393.25,0.0874414792577548,12,0.0833333333333333,"4"
2392.23076923077,0.0764918562815784,13,0.0769230769230769,"4"
2385.28571428571,0.0745342388811024,14,0.0714285714285714,"4"
2388.4,0.0719859535937291,15,0.0666666666666667,"4"
2387,0.0702007362850641,16,0.0625,"4"
