"v.n_t","v.results","t","t_inv","s_group"
2531,0.0724438124085126,8,0.125,"1"
2536.44444444444,0.0583266786193152,9,0.111111111111111,"1"
2540.3,0.0279723586381756,10,0.1,"1"
2544.18181818182,0.0542997974310897,11,0.0909090909090909,"1"
2541.5,0.048310679651354,12,0.0833333333333333,"1"
2522.15384615385,0.0403934207257953,13,0.0769230769230769,"1"
2535.64285714286,0.041634225243482,14,0.0714285714285714,"1"
2525.4,0.0464479179420209,15,0.0666666666666667,"1"
2531.75,0.0475359411917687,16,0.0625,"1"
2536.23529411765,0.0420486754207499,17,0.0588235294117647,"1"
2532.11111111111,0.0536196624973117,18,0.0555555555555556,"1"
2534.31578947368,0.0488337174874705,19,0.0526315789473684,"1"
2527.625,0.0907185605133643,8,0.125,"1"
2532.77777777778,0.0319178308033679,9,0.111111111111111,"1"
2534,0.0502299584913334,10,0.1,"1"
2536,0.0448562457754431,11,0.0909090909090909,"1"
2536.75,0.0532170290642698,12,0.0833333333333333,"1"
2532.84615384615,0.0400065399094479,13,0.0769230769230769,"1"
2532.42857142857,0.044200836153714,14,0.0714285714285714,"1"
2536.53333333333,0.0511346298533231,15,0.0666666666666667,"1"
2534.1875,0.0468259883357247,16,0.0625,"1"
2536.17647058824,0.0450759290586558,17,0.0588235294117647,"1"
2531.05555555556,0.0490059970978705,18,0.0555555555555556,"1"
2534.31578947368,0.0488337174874705,19,0.0526315789473684,"1"
2529.75,0.0385980620242001,8,0.125,"2"
2544.44444444444,0.0670546073685024,9,0.111111111111111,"2"
2537.7,0.064570238236519,10,0.1,"2"
2527.63636363636,0.0384801339585711,11,0.0909090909090909,"2"
2525,0.0528255090438028,12,0.0833333333333333,"2"
2530.92307692308,0.0422605305973331,13,0.0769230769230769,"2"
2533.57142857143,0.04338858802785,14,0.0714285714285714,"2"
2537.86666666667,0.0517007820259721,15,0.0666666666666667,"2"
2535.0625,0.0513068591885198,16,0.0625,"2"
2532.82352941176,0.0453222376049762,17,0.0588235294117647,"2"
2533.11111111111,0.0501243605022655,18,0.0555555555555556,"2"
2534.31578947368,0.0488337174874705,19,0.0526315789473684,"2"
2533.625,0.0661301220212224,8,0.125,"2"
2541.88888888889,0.052186871419303,9,0.111111111111111,"2"
2531.2,0.0426699155580744,10,0.1,"2"
2538.72727272727,0.0647686364233595,11,0.0909090909090909,"2"
2530.25,0.041864147500668,12,0.0833333333333333,"2"
2534.69230769231,0.0467826025152185,13,0.0769230769230769,"2"
2537.64285714286,0.0517074227216372,14,0.0714285714285714,"2"
2531.86666666667,0.0396026352702856,15,0.0666666666666667,"2"
2535.125,0.0533826790036578,16,0.0625,"2"
2536.29411764706,0.0484622071077864,17,0.0588235294117647,"2"
2533.5,0.0522839488542061,18,0.0555555555555556,"2"
2534.31578947368,0.0488337174874705,19,0.0526315789473684,"2"
2531,0.0653113451552312,8,0.125,"3"
2538.11111111111,0.0646515786418457,9,0.111111111111111,"3"
2535.1,0.0641315278232921,10,0.1,"3"
2536.81818181818,0.035974946613216,11,0.0909090909090909,"3"
2541.08333333333,0.0495910086350256,12,0.0833333333333333,"3"
2529.53846153846,0.0619335980550082,13,0.0769230769230769,"3"
2531.78571428571,0.0436562885892317,14,0.0714285714285714,"3"
2532.2,0.0442202580635829,15,0.0666666666666667,"3"
2533.4375,0.048688809083813,16,0.0625,"3"
2534.47058823529,0.0541119598547583,17,0.0588235294117647,"3"
2535.11111111111,0.0512117077297949,18,0.0555555555555556,"3"
2534.31578947368,0.0488337174874705,19,0.0526315789473684,"3"
2531,0.0473149302705305,8,0.125,"3"
2535.77777777778,0.0323628908102307,9,0.111111111111111,"3"
2531.3,0.0542670847383468,10,0.1,"3"
