"v.n_t","v.results","t","t_inv","s_group"
2395,0.07808369224504,8,0.125,"1"
2397.88888888889,0.0784105283172986,9,0.111111111111111,"1"
2382.8,0.090724688591636,10,0.1,"1"
2383.81818181818,0.0715283163562268,11,0.0909090909090909,"1"
2392.91666666667,0.0737288566907674,12,0.0833333333333333,"1"
2386.84615384615,0.0702320823283047,13,0.0769230769230769,"1"
2389.14285714286,0.0783368945236826,14,0.0714285714285714,"1"
2382.6,0.0883052922071699,15,0.0666666666666667,"1"
2385.6875,0.0782489845299374,16,0.0625,"1"
2390.35294117647,0.0827633129672864,17,0.0588235294117647,"1"
2385.38888888889,0.076239806709462,18,0.0555555555555556,"1"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"1"
2389.375,0.0731513147834447,8,0.125,"1"
2389,0.0911563309268359,9,0.111111111111111,"1"
2386,0.0980913516356489,10,0.1,"1"
2401.18181818182,0.0746490333092884,11,0.0909090909090909,"1"
2394.58333333333,0.0962774731484007,12,0.0833333333333333,"1"
2379.92307692308,0.0727645441701799,13,0.0769230769230769,"1"
2385.57142857143,0.0817866580574121,14,0.0714285714285714,"1"
2387.93333333333,0.0689335619320293,15,0.0666666666666667,"1"
2386.3125,0.0771762693764885,16,0.0625,"1"
2388.47058823529,0.0797716328528182,17,0.0588235294117647,"1"
2387.16666666667,0.0796236608244386,18,0.0555555555555556,"1"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"1"
2390.625,0.0881330091293583,8,0.125,"2"
2374.11111111111,0.0648970979490862,9,0.111111111111111,"2"
2396.9,0.0799391577781196,10,0.1,"2"
2394.72727272727,0.0837688090153095,11,0.0909090909090909,"2"
2393.41666666667,0.0841495045365663,12,0.0833333333333333,"2"
2386.53846153846,0.0793114150221212,13,0.0769230769230769,"2"
2385.78571428571,0.0839371183017545,14,0.0714285714285714,"2"
2394.8,0.0779575650668605,15,0.0666666666666667,"2"
2388.5625,0.0834905551473886,16,0.0625,"2"
2385.17647058824,0.0756034081019081,17,0.0588235294117647,"2"
2389.05555555556,0.0754755699703271,18,0.0555555555555556,"2"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"2"
2375.75,0.0861842416910375,8,0.125,"2"
2384.11111111111,0.0748798536946452,9,0.111111111111111,"2"
2396.4,0.0856348331376429,10,0.1,"2"
2380.81818181818,0.084983039442448,11,0.0909090909090909,"2"
2383.08333333333,0.0789559543974804,12,0.0833333333333333,"2"
2387.30769230769,0.0756565638317798,13,0.0769230769230769,"2"
2390.42857142857,0.0818950241191233,14,0.0714285714285714,"2"
2384.86666666667,0.072576067786979,15,0.0666666666666667,"2"
2384.6875,0.0773527329343827,16,0.0625,"2"
2386.41176470588,0.0770103395252837,17,0.0588235294117647,"2"
2386.5,0.0773960262625213,18,0.0555555555555556,"2"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"2"
2383.25,0.088950271803925,8,0.125,"3"
2401.66666666667,0.0726577548183972,9,0.111111111111111,"3"
2398,0.0758969035664207,10,0.1,"3"
2388.54545454545,0.0855470404814671,11,0.0909090909090909,"3"
2387.33333333333,0.0857184089229592,12,0.0833333333333333,"3"
2391.15384615385,0.072864383233141,13,0.0769230769230769,"3"
2385.64285714286,0.0842828216660559,14,0.0714285714285714,"3"
2388.8,0.0801111473563397,15,0.0666666666666667,"3"
2388.1875,0.0779098740337277,16,0.0625,"3"
2390.76470588235,0.0718483072130648,17,0.0588235294117647,"3"
2389.66666666667,0.0784090949877764,18,0.0555555555555556,"3"
2388.26315789474,0.0789624893896714,19,0.0526315789473684,"3"
2401,0.0754067688298936,8,0.125,"3"
2386.44444444444,0.0965174785034891,9,0.111111111111111,"3"
