
="",="(1)",="(2)",="(3)",="(4)"
="VIC",="-0.0292*",="",="-0.0400***",=""
="",="(0.0117)",="",="(0.00946)",=""

="WA",="0.0378*",="",="0.00325",=""
="",="(0.0167)",="",="(0.0159)",=""

="QLD",="-0.0203",="",="-0.0206*",=""
="",="(0.0111)",="",="(0.00845)",=""

="SA",="-0.0242*",="",="-0.00195",=""
="",="(0.00986)",="",="(0.0132)",=""

="NT",="0.0306",="",="-0.0421",=""
="",="(0.0394)",="",="(0.0438)",=""

="TAS",="-0.0807**",="",="-0.0344",=""
="",="(0.0246)",="",="(0.0205)",=""

="ACT",="0.122***",="",="0.0667*",=""
="",="(0.0209)",="",="(0.0288)",=""

="Shiftwork",="0.0672***",="",="0.0389***",=""
="",="(0.00824)",="",="(0.0113)",=""

="Part Time",="-0.0933***",="-0.131***",="-0.0187***",="-0.0212**"
="",="(0.0157)",="(0.0238)",="(0.00557)",="(0.00711)"

="41+ hours",="-0.0348***",="",="-0.0962***",=""
="",="(0.00965)",="",="(0.00878)",=""

="Casual",="-0.0408***",="-0.0577***",="-0.0475***",="-0.0737***"
="",="(0.0105)",="(0.0163)",="(0.00888)",="(0.0119)"

="Tenure",="0.00343***",="0.00385***",="0.00366***",="0.00322***"
="",="(0.000745)",="(0.000468)",="(0.000615)",="(0.000786)"

="Technician / Trades",="-0.137***",="",="-0.219***",=""
="",="(0.0258)",="",="(0.0196)",=""

="Administration",="-0.159***",="",="-0.127***",=""
="",="(0.0208)",="",="(0.0129)",=""

="Machinery",="-0.223***",="",="-0.246***",=""
="",="(0.0182)",="",="(0.0289)",=""

="Professional",="0.0129",="",="0.0317",=""
="",="(0.0244)",="",="(0.0173)",=""

="Community / Service",="-0.173***",="",="-0.236***",=""
="",="(0.0287)",="",="(0.0162)",=""

="Sales",="-0.266***",="",="-0.238***",=""
="",="(0.0202)",="",="(0.0195)",=""

="Labourer",="-0.286***",="",="-0.283***",=""
="",="(0.0216)",="",="(0.0130)",=""

="Children",="",="0.0288**",="",="-0.000696"
="",="",="(0.00923)",="",="(0.00537)"

="Constant",="2.822***",="2.634***",="2.810***",="2.626***"
="",="(0.0311)",="(0.0175)",="(0.0233)",="(0.0253)"

="q3",="",="",="",=""
="Public Sector",="0.0507***",="0.0722***",="0.107***",="0.146***"
="",="(0.0113)",="(0.0101)",="(0.00495)",="(0.00926)"

="Experience",="0.0192***",="0.0218***",="0.0160***",="0.0173***"
