="",="(1)",="(2)",="(3)",="(4)"
="",="(0.002)",="(0.002)",="(0.001)",="(0.001)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.181***",="0.296***",="0.153***",="0.254***"
="",="(0.015)",="(0.014)",="(0.010)",="(0.011)"
="Diploma / Cert",="0.049***",="0.076***",="0.036***",="0.040***"
="",="(0.010)",="(0.010)",="(0.009)",="(0.009)"
="1 child",="0.010",="",="-0.008",=""
="",="(0.013)",="",="(0.009)",=""
="2 children",="0.052***",="",="0.011",=""
="",="(0.012)",="",="(0.010)",=""
="3 children",="0.037**",="",="0.019",=""
="",="(0.018)",="",="(0.013)",=""
="4+ children",="-0.009",="",="-0.005",=""
="",="(0.033)",="",="(0.028)",=""
="Poor health",="-0.059***",="-0.061***",="-0.025***",="-0.041***"
="",="(0.010)",="(0.010)",="(0.008)",="(0.008)"
="Born - Eng speaking",="0.033**",="0.050***",="0.042***",="0.049***"
="",="(0.015)",="(0.017)",="(0.012)",="(0.014)"
="Born - Non-Eng speaking",="-0.060***",="-0.084***",="-0.014",="-0.055***"
="",="(0.015)",="(0.016)",="(0.011)",="(0.015)"
="Married / De Facto",="0.068***",="0.068***",="0.018*",="0.032***"
="",="(0.011)",="(0.012)",="(0.010)",="(0.011)"
="Seperated / Widowed",="0.023",="-0.005",="0.003",="0.004"
="",="(0.021)",="(0.021)",="(0.013)",="(0.014)"
="Rural",="-0.081***",="-0.094***",="-0.020*",="-0.023**"
="",="(0.016)",="(0.015)",="(0.011)",="(0.011)"
="VIC",="-0.029**",="",="-0.040***",=""
="",="(0.014)",="",="(0.010)",=""
="WA",="0.038**",="",="0.003",=""
="",="(0.018)",="",="(0.013)",=""
="QLD",="-0.020",="",="-0.021**",=""
="",="(0.013)",="",="(0.010)",=""
="SA",="-0.024*",="",="-0.002",=""
="",="(0.014)",="",="(0.013)",=""
="NT",="0.031",="",="-0.042",=""
="",="(0.036)",="",="(0.040)",=""
="TAS",="-0.081***",="",="-0.034*",=""
="",="(0.020)",="",="(0.020)",=""
="ACT",="0.122***",="",="0.067**",=""
="",="(0.032)",="",="(0.027)",=""
="Shiftwork",="0.067***",="",="0.039***",=""
="",="(0.012)",="",="(0.010)",=""
="Part Time",="-0.093***",="-0.131***",="-0.019**",="-0.021***"
="",="(0.019)",="(0.019)",="(0.008)",="(0.008)"
="41+ hours",="-0.035***",="",="-0.096***",=""
="",="(0.008)",="",="(0.010)",=""
="Casual",="-0.041***",="-0.058***",="-0.048***",="-0.074***"
="",="(0.014)",="(0.013)",="(0.010)",="(0.010)"
="Tenure",="0.003***",="0.004***",="0.004***",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="0.014",="0.013",="0.018",="0.027**"
="",="(0.015)",="(0.011)",="(0.013)",="(0.011)"
="Wave=3",="0.023",="0.004",="0.025*",="0.022*"
="",="(0.015)",="(0.014)",="(0.013)",="(0.012)"
="Wave=4",="0.038**",="0.038**",="0.051***",="0.040***"
="",="(0.017)",="(0.017)",="(0.013)",="(0.013)"
="Wave=5",="0.054***",="0.061***",="0.053***",="0.050***"
="",="(0.018)",="(0.015)",="(0.016)",="(0.013)"
="Wave=6",="0.072***",="0.084***",="0.063***",="0.055***"
="",="(0.015)",="(0.014)",="(0.014)",="(0.014)"
