="",="(1)",="(2)",="(3)",="(4)"
="",="(0.028)",="(0.026)",="(0.032)",="(0.022)"
="Wave=4",="0.026",="0.035",="0.032",="0.016"
="",="(0.031)",="(0.024)",="(0.033)",="(0.023)"
="Wave=5",="0.030",="0.018",="0.058",="0.043"
="",="(0.030)",="(0.021)",="(0.038)",="(0.028)"
="Wave=6",="0.047",="0.063***",="0.069**",="0.028"
="",="(0.030)",="(0.024)",="(0.033)",="(0.024)"
="Wave=7",="0.091***",="0.116***",="0.090***",="0.061**"
="",="(0.032)",="(0.029)",="(0.031)",="(0.025)"
="Wave=8",="0.104***",="0.104***",="0.111***",="0.107***"
="",="(0.030)",="(0.027)",="(0.035)",="(0.024)"
="Wave=9",="0.074**",="0.090***",="0.147***",="0.133***"
="",="(0.029)",="(0.025)",="(0.038)",="(0.031)"
="Wave=10",="0.143***",="0.142***",="0.149***",="0.136***"
="",="(0.035)",="(0.028)",="(0.031)",="(0.023)"
="Wave=11",="0.140***",="0.173***",="0.117***",="0.103***"
="",="(0.030)",="(0.028)",="(0.031)",="(0.024)"
="Wave=12",="0.144***",="0.172***",="0.142***",="0.099***"
="",="(0.030)",="(0.026)",="(0.033)",="(0.023)"
="Wave=13",="0.168***",="0.190***",="0.119***",="0.087***"
="",="(0.041)",="(0.029)",="(0.030)",="(0.023)"
="Wave=14",="0.146***",="0.186***",="0.140***",="0.107***"
="",="(0.031)",="(0.029)",="(0.032)",="(0.022)"
="Wave=15",="0.120***",="0.142***",="0.154***",="0.111***"
="",="(0.031)",="(0.025)",="(0.034)",="(0.028)"
="Wave=16",="0.150***",="0.159***",="0.148***",="0.144***"
="",="(0.041)",="(0.029)",="(0.031)",="(0.027)"
="Wave=17",="0.158***",="0.152***",="0.149***",="0.144***"
="",="(0.035)",="(0.024)",="(0.032)",="(0.026)"
="Wave=18",="0.123***",="0.145***",="0.168***",="0.166***"
="",="(0.030)",="(0.025)",="(0.033)",="(0.029)"
="Wave=19",="0.175***",="0.179***",="0.205***",="0.207***"
="",="(0.031)",="(0.025)",="(0.032)",="(0.031)"
="Technician / Trades",="-0.237***",="",="-0.452***",=""
="",="(0.030)",="",="(0.031)",=""
="Administration",="-0.304***",="",="-0.326***",=""
="",="(0.030)",="",="(0.026)",=""
="Machinery",="-0.340***",="",="-0.474***",=""
="",="(0.040)",="",="(0.063)",=""
="Professional",="-0.048*",="",="-0.094***",=""
="",="(0.027)",="",="(0.024)",=""
="Community / Service",="-0.347***",="",="-0.467***",=""
="",="(0.034)",="",="(0.028)",=""
="Sales",="-0.384***",="",="-0.473***",=""
="",="(0.038)",="",="(0.032)",=""
="Labourer",="-0.448***",="",="-0.525***",=""
="",="(0.037)",="",="(0.037)",=""
="Children",="",="0.061***",="",="-0.016"
="",="",="(0.017)",="",="(0.016)"
="Constant",="3.413***",="3.146***",="3.451***",="3.069***"
="",="(0.051)",="(0.032)",="(0.043)",="(0.026)"
="Observations",="49598",="49598",="46893",="46893"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
